Stock Code,Name of Listed Company,Listed Company's Website Address
806,Value Partners Group Limited,http://www.valuepartnersgroup.com.hk
808,Prosperity Real Estate Investment Trust,http://www.prosperityreit.com/eng/index.php
809,Global Bio-Chem Technology Group Company Limited,http://www.globalbiochem.com
810,Opes Asia Development Limited,http://www.irasia.com/listco/hk/opesasia/index.htm
811,"Sichuan Xinhua Winshare Chainstore Co., Ltd.",http://www.winshare.com.cn
812,Tanrich Financial Holdings Limited,http://www.tanrich-group.com
813,Shimao Property Holdings Limited,http://www.shimaoproperty.com
814,Beijing Jingkelong Company Limited,http://www.jkl.com.cn
817,Franshion Properties (China) Limited,http://www.franshion.com
818,Hi Sun Technology (China) Limited,http://www.irasia.com/listco/hk/hisun
819,Tianneng Power International Limited,http://www.tianneng.com.hk
820,HSBC China Dragon Fund,http://www.assetmanagement.hsbc.com/hk-chinadragonfund
821,Value Convergence Holdings Limited,http://www.valueconvergence.com
822,Ka Shui International Holdings Limited,http://www.kashui.com
823,The Link Real Estate Investment Trust,http://www.thelinkreit.com
825,New World Department Store China Limited,http://www.nwds.com.hk
826,Tiangong International Company Limited,http://www.tggj.cn
827,Ko Yo Ecological Agrotech (Group) Limited,http://www.koyochem.com
828,Dynasty Fine Wines Group Limited,http://www.dynasty-wines.com
829,Shenguan Holdings (Group) Limited,http://www.shenguan.com.cn
830,Far East Global Group Limited,http://www.fareastglobal.com
831,Convenience Retail Asia Limited,http://www.cr-asia.com
832,Central China Real Estate Limited,http://www.centralchina.com
833,Alltronics Holdings Limited,http://www.irasia.com/listco/hk/alltronics/index.htm
834,China Kangda Food Company Limited,http://www.kangdafood.com
835,Asia Coal Limited,http://www.asiacoallimited.com
836,China Resources Power Holdings Company Limited,http://www.cr-power.com
837,Carpenter Tan Holdings Limited,http://www.ctans.com
838,EVA Precision Industrial Holdings Limited,http://www.eva-group.com
839,Anhui Tianda Oil Pipe Company Limited,http://www.td-gg.com
840,Xinjiang Tianye Water Saving Irrigation System Company Limited,http://www.tianyejieshui.com.cn
841,Asia Cassava Resources Holdings Limited,http://www.asiacassava.com
842,Leoch International Technology Limited,http://www.leoch.com
845,Glorious Property Holdings Limited,http://www.gloriousphl.com.cn
846,Mingfa Group (International) Company Limited,http://www.ming-fa.com
847,Kazakhmys PLC,http://www.kazakhmys.com
848,Maoye International Holdings Limited,http://www.maoye.cn
850,PetroAsian Energy Holdings Limited,http://www.ChinaOilResources.com
851,Sheng Yuan Holdings Limited,http://www.shengyuan.hk
852,Strong Petrochemical Holdings Limited,http://www.strongpetrochem.com
853,MicroPort Scientific Corporation,http://www.microport.com.cn
855,China Water Affairs Group Limited,http://www.chinawatergroup.com
856,VST Holdings Limited,http://www.vst.com.hk
857,PetroChina Company Limited,http://www.petrochina.com.cn
858,Extrawell Pharmaceutical Holdings Limited,http://www.extrawell.com.hk
859,Henry Group Holdings Limited,http://www.henrygroup.hk
860,Ming Fung Jewellery Group Limited,http://www.mingfung.com
861,Digital China Holdings Limited,http://www.digitalchina.com.hk
862,Vision Values Holdings Ltd.,http://www.visionvalues.com.hk 
865,First Mobile Group Holdings Limited,http://www.firstmobile.com
866,China Qinfa Group Limited,http://www.qinfagroup.com
867,China Medical System Holdings Limited,http://www.cms.net.cn
868,Xinyi Glass Holdings Limited,http://xinyiglass.todayir.com
869,Playmates Toys Limited,http://www.playmatestoys.com
870,Hang Fung Gold Technology Limited,http://www.hangfung.com
871,Xiangyu Dredging Holdings Limited,http://www.xiangyu.com.hk
872,Jinheng Automotive Safety Technology Holdings Limited,http://www.jinhengholdings.com
873,International Taifeng Holdings Limited,http://www.taifeng.cc
874,Guangzhou Pharmaceutical Company Limited,http://www.equitynet.com.hk/0874/
875,Ever Fortune International Holdings Limited,http://www.875.com.hk
876,Wing Lee Holdings Limited,http://www.wingleeholdings.com
877,O-Net Communications (Group) Limited,http://www.o-netcom.com
878,Soundwill Holdings Limited,http://www.soundwill.com.hk
880,SJM Holdings Limited,http://www.sjmholdings.com
881,Zhongsheng Group Holdings Limited,http://www.zs-group.com.cn
882,Tianjin Development Holdings Limited,http://finance.thestandard.com.hk/en/0882tianjindev
883,CNOOC Limited,http://www.cnoocltd.com
885,Forefront Group Limited,http://www.forefront.com.hk
886,Silver Base Group Holdings Limited,http://www.silverbasegroup.com
887,Emperor Watch & Jewellery Limited,http://www.emperorwatchjewellery.com
888,RoadShow Holdings Limited,http://www.roadshow.com.hk
889,Datronix Holdings Limited,http://www.datronixhldgs.com.hk/investors.html
891,Trinity Limited,http://www.trinity-limited.com
893,China Vanadium Titano-Magnetite Mining Company Limited,http://www.chinavtmmining.com
894,Man Yue Technologh Holdings Limited,http://www.manyue.com
895,Dongjiang Environmental Company Limited,http://www.dongjiang.com.cn
896,Hanison Construction Holdings Limited,http://www.hanison.com
897,Wai Yuen Tong Medicine Holdings Limited,http://www.wyth.net
898,Multifield International Holdings Limited,http://www.irasia.com/listco/hk/multifield/index.htm
899,Asia Resources Holdings Limited,http://www.aplushk.com/clients/0899asiaresources
900,Aeon Credit Service (Asia) Company Limited,http://www.aeon.com.hk
901,Radford Capital Investment Limited,http://radfordcap.etnet.com.hk 
902,"Huaneng Power International, Inc.",http://www.hpi-ir.com.hk
903,TPV Technology Limited,http://www.tpv-tech.com
904,China Green (Holdings) Limited,http://www.chinagreen.com.hk
905,Mastermind Capital Limited,http://www.mastermindcapitalhk.com
906,CPMC Holdings Limited,http://www.cofco-pack.com
907,Elegance International Holdings Limited,http://www.elegance-group.com
908,Jiuzhou Development Company Limited,http://www.0908.hk
909,Zhongda International Holdings Limited,http://www.finance.thestandard.com.hk/en/0909zhongda
910,China Grand Forestry Resources Group Limited,http://www.capitalfp.com.hk/eng/index.jsp?co=910
912,Suga International Holdings Limited,http://www.suga.com.hk
913,Unity Investments Holdings Limited,http://www.unity913.com
914,Anhui Conch Cement Company Limited,http://www.conch.cn
915,Linmark Group Limited,http://www.linmark.com
916,China Longyuan Power Group Corporation Limited,http://www.clypg.com.cn
917,New World China Land Limited,http://www.nwcl.com.hk
918,Takson Holdings Limited,http://www.takson.com
919,Modern Beauty Salon Holdings Limited,http://www.modernbeautysalon.com
921,Hisense Kelon Electrical Holdings Company Limited,http://www.kelon.com
922,China Boon Holdings Limited,http://www.china-boon.com
923,Fook Woo Group Holdings Limited,http://www.fookwoo.com
925,Beijing Properties (Holdings) Limited,http://www.bphl.com.hk
926,Besunyen Holdings Company Limited,http://www.besunyen.com
927,Fujikon Industrial Holdings Limited,http://www.fujikon.com
928,Tack Fat Group International Limited,http://www.tackfatgroup.com 
929,IPE Group Limited,http://www.ipegroup.com
930,"China Forestry Holdings Co., Ltd.",http://www.chinaforestryholding.com
931,Artel Solutions Group Holdings Limited,http://artelgroup.todayir.com
933,Brightoil Petroleum (Holdings) Limited,http://www.brightoil.com.hk
934,Sinopec Kantons Holdings Limited,http://www.sinopec.com.hk
935,Dragon Crown Group Holdings Limited,http://www.dragoncrown.com
936,Manta Holdings Company Limited,http://www.mantagroup.com.hk
938,Man Sang International Limited,http://www.man-sang.com
939,China Construction Bank Corporation,http://www.ccb.com
940,China Animal Healthcare Ltd.,http://www.chinanimalhealthcare.com
941,China Mobile Limited,http://www.chinamobileltd.com
943,Eforce Holdings Limited,http://www.todayir.com/listco/hk/eforce
945,Manulife Financial Corporation,http://www.manulife.com
946,Hontex International Holdings Company Limited,http://ir.hontex.cn
947,"MOBI Development Co., Ltd.",http://www.mobi-antenna.com
948,Z-Obee Holdings Limited,http://www.z-obee.com
950,Lee's Pharmaceutical Holdings Limited,http://www.leespharm.com
951,Chaowei Power Holdings Limited,http://www.chaowei.com.hk
